systemId,Code,Quantity,Amount,Sale Date,Transaction ID
19939,1114,1,8.890000000,2022-10-01,431132
8314,594,2,76.380000000,2022-10-01,431135
17170,1081,18,796.140000000,2022-10-03,431123
28601,1117,2,23.240000000,2022-10-03,431167
26244,9545,1,19.100000000,2022-10-03,431157
28500,1117,1,11.620000000,2022-10-03,431169
23270,9596,1,14.550000000,2022-10-03,431210
28017,1117,2,23.240000000,2022-10-03,431144
5398,1081,28,1274.000000000,2022-10-03,431293
19939,847,1,47.980000000,2022-10-03,431459
19939,1081,3,141.720000000,2022-10-03,431459
11483,594,72,2882.160000000,2022-10-04,431337
11792,594,12,491.760000000,2022-10-04,431338
17304,847,6,287.880000000,2022-10-04,431301
14181,9549,66,599.940000000,2022-10-04,431170
21892,1057,16,624.320000000,2022-10-04,431177
21892,9564,8,404.720000000,2022-10-04,431177
11442,594,18,737.640000000,2022-10-04,431296
11442,9549,22,212.740000000,2022-10-04,431296
20721,1120,10,204.000000000,2022-10-04,431363
27542,594,6,233.400000000,2022-10-04,431422
27542,1058,6,189.000000000,2022-10-04,431422
21337,850,3,168.420000000,2022-10-04,431276
28239,1095,18,850.320000000,2022-10-04,431403
2541,9549,44,425.480000000,2022-10-04,431208
2541,9596,160,2328.000000000,2022-10-04,431208
15618,1115,16,232.800000000,2022-10-04,431246
15618,1120,10,220.700000000,2022-10-04,431246
12696,9549,22,212.740000000,2022-10-04,431192
12696,9577,22,242.440000000,2022-10-04,431192
12696,9596,48,698.400000000,2022-10-04,431192
19444,594,12,511.920000000,2022-10-04,431221
19444,850,2,129.700000000,2022-10-04,431221
19444,908,12,548.160000000,2022-10-04,431221
16879,594,6,286.320000000,2022-10-04,431225
17447,1117,18,275.940000000,2022-10-04,431330
3650,1081,6,273.060000000,2022-10-04,431288
11680,594,18,737.640000000,2022-10-04,431341
11680,1058,3,98.700000000,2022-10-04,431341
14243,594,6,227.220000000,2022-10-04,431329
4593,594,18,699.660000000,2022-10-04,431388
23155,1081,18,850.320000000,2022-10-04,431287
28443,594,6,233.220000000,2022-10-04,431286
20180,594,12,466.440000000,2022-10-04,431282
26465,847,12,550.800000000,2022-10-04,431302
26465,850,4,211.600000000,2022-10-04,431302
4321,594,18,687.600000000,2022-10-04,431380
18493,9549,22,205.040000000,2022-10-04,431211
18493,9596,16,222.240000000,2022-10-04,431211
28745,1117,1,15.840000000,2022-10-04,431444
28745,9545,1,26.040000000,2022-10-04,431444
28745,9546,1,31.040000000,2022-10-04,431444
28745,9547,1,54.770000000,2022-10-04,431444
28745,9563,1,31.920000000,2022-10-04,431444
5008,594,24,958.800000000,2022-10-04,431381
28747,1057,6,227.100000000,2022-10-04,431449
23085,850,3,158.700000000,2022-10-04,431268
12317,594,6,215.400000000,2022-10-04,431349
26568,1057,8,312.160000000,2022-10-04,431450
26617,594,24,932.880000000,2022-10-04,431382
28246,1117,18,285.120000000,2022-10-04,431415
21930,1112,20,177.800000000,2022-10-04,431321
21930,1115,16,232.800000000,2022-10-04,431321
21930,1120,10,220.700000000,2022-10-04,431321
21086,1112,20,177.800000000,2022-10-04,431173
21086,9596,16,232.800000000,2022-10-04,431173
20914,1112,20,177.800000000,2022-10-04,431188
20914,9596,16,232.800000000,2022-10-04,431188
23485,1112,20,177.800000000,2022-10-04,431240
23485,1115,16,232.800000000,2022-10-04,431240
23485,9596,16,232.800000000,2022-10-04,431240
23485,1117,18,285.120000000,2022-10-04,431322
21050,9549,22,212.740000000,2022-10-04,431438
26032,594,18,644.400000000,2022-10-04,431223
26032,850,8,415.280000000,2022-10-04,431223
24026,847,18,844.200000000,2022-10-04,431148
24026,850,4,223.600000000,2022-10-04,431148
24026,1095,18,850.320000000,2022-10-04,431148
28199,594,24,864.000000000,2022-10-04,431429
22242,847,6,340.020000000,2022-10-04,431368
28081,9549,15,145.050000000,2022-10-04,431175
28081,9550,8,77.360000000,2022-10-04,431175
22394,594,6,245.880000000,2022-10-04,431365
7695,850,2,112.280000000,2022-10-04,431356
28058,594,10,360.000000000,2022-10-04,431394
5802,1057,8,312.160000000,2022-10-04,431299
18315,1114,60,493.200000000,2022-10-04,431307
18315,1115,16,215.200000000,2022-10-04,431307
18315,9549,66,597.300000000,2022-10-04,431307
18315,9550,22,199.320000000,2022-10-04,431307
18315,9577,22,227.040000000,2022-10-04,431307
18315,9596,60,807.000000000,2022-10-04,431307
12361,1057,7,273.000000000,2022-10-04,431476
26305,1115,16,232.800000000,2022-10-04,431292
26305,9549,22,212.740000000,2022-10-04,431292
26025,594,15,614.700000000,2022-10-04,431284
5080,1120,10,207.500000000,2022-10-04,431336
13433,594,30,899.700000000,2022-10-04,431236
21769,9577,10,110.200000000,2022-10-04,431222
26163,1120,10,220.700000000,2022-10-04,431245
26163,9549,22,212.740000000,2022-10-04,431245
26163,9577,22,242.440000000,2022-10-04,431245
26163,9596,16,232.800000000,2022-10-04,431245
26163,9596,2,0.000000000,2022-10-04,431413
16874,9549,11,106.370000000,2022-10-04,431163
16874,9577,11,121.220000000,2022-10-04,431163
24048,909,5,325.800000000,2022-10-04,431404
20141,1081,30,1417.200000000,2022-10-04,431298
13076,1112,20,177.800000000,2022-10-04,431172
13076,9596,16,232.800000000,2022-10-04,431172
8844,1112,20,177.800000000,2022-10-04,431179
8844,9592,16,270.080000000,2022-10-04,431179
23129,1112,20,177.800000000,2022-10-04,431212
23129,1115,16,232.800000000,2022-10-04,431212
11421,1112,20,177.800000000,2022-10-04,431242
4098,1057,80,3121.600000000,2022-10-04,431308
21087,1112,20,177.800000000,2022-10-04,431387
21087,9596,16,232.800000000,2022-10-04,431387
28750,1054,2,100.160000000,2022-10-04,431474
28750,1057,2,71.280000000,2022-10-04,431474
18371,1112,20,170.000000000,2022-10-04,431203
27805,9596,12,168.000000000,2022-10-04,431406
18688,594,6,214.800000000,2022-10-04,431318
16609,594,6,214.800000000,2022-10-04,431323
12320,1054,2,109.660000000,2022-10-04,431232
12320,1058,3,98.700000000,2022-10-04,431232
25200,1120,1,19.770000000,2022-10-04,431455
28491,594,18,700.740000000,2022-10-04,431471
28491,9549,66,606.540000000,2022-10-04,431471
23916,1117,36,517.320000000,2022-10-04,431198
15037,847,6,344.160000000,2022-10-04,431238
21593,1057,1,30.740000000,2022-10-04,431588
5398,9549,1,9.330000000,2022-10-04,431641
26412,9546,2,59.800000000,2022-10-05,431635
26412,9563,2,61.500000000,2022-10-05,431635
28188,1058,6,197.400000000,2022-10-05,431684
28188,1117,18,285.120000000,2022-10-05,431684
27929,9549,22,212.740000000,2022-10-05,431550
27929,9596,16,232.800000000,2022-10-05,431550
16318,594,6,220.800000000,2022-10-05,431676
24420,594,12,429.600000000,2022-10-05,431674
22434,9596,32,445.440000000,2022-10-05,431549
18423,1115,16,232.800000000,2022-10-05,431592
18423,9549,22,212.740000000,2022-10-05,431592
4015,1115,16,222.400000000,2022-10-05,431642
4015,1116,18,226.260000000,2022-10-05,431642
4015,9592,16,257.920000000,2022-10-05,431642
11809,9549,22,212.740000000,2022-10-05,431558
11809,9596,16,232.800000000,2022-10-05,431558
28754,1058,1,32.900000000,2022-10-05,431690
5632,1057,8,312.160000000,2022-10-05,431627
22471,847,3,143.940000000,2022-10-05,431532
6083,850,4,228.560000000,2022-10-05,431616
25807,1115,16,232.800000000,2022-10-05,431494
25807,9549,22,212.740000000,2022-10-05,431494
23664,1112,40,355.600000000,2022-10-05,431493
23664,1114,40,355.600000000,2022-10-05,431493
23664,9596,32,465.600000000,2022-10-05,431493
23665,1114,40,355.600000000,2022-10-05,431492
23665,1115,16,232.800000000,2022-10-05,431492
20629,1057,16,581.920000000,2022-10-05,431750
9840,1116,126,3434.760000000,2022-10-05,431624
28292,594,27,1053.000000000,2022-10-05,431734
28292,594,3,0.000000000,2022-10-05,431741
28616,1117,36,519.840000000,2022-10-05,431716
3891,594,18,813.420000000,2022-10-05,431720
18573,1112,10,88.900000000,2022-10-05,431646
18573,1117,10,158.400000000,2022-10-05,431646
18573,1120,10,220.700000000,2022-10-05,431646
18573,9549,10,96.700000000,2022-10-05,431646
18573,9596,16,232.800000000,2022-10-05,431646
18573,1120,1,0.000000000,2022-10-05,431675
18573,9596,1,0.000000000,2022-10-05,431675
16169,9592,3,50.640000000,2022-10-05,431645
11682,9596,16,232.800000000,2022-10-05,431622
12298,9596,64,931.200000000,2022-10-05,431544
23315,1117,10,158.400000000,2022-10-05,431571
28609,1120,10,204.000000000,2022-10-05,431615
26428,847,18,863.640000000,2022-10-05,431573
2349,1114,40,355.600000000,2022-10-05,431678
2349,1115,32,465.600000000,2022-10-05,431678
2349,1116,72,922.320000000,2022-10-05,431678
2349,1120,60,1324.200000000,2022-10-05,431678
2349,9549,44,425.480000000,2022-10-05,431678
2349,9550,66,638.220000000,2022-10-05,431678
2349,9577,44,484.880000000,2022-10-05,431678
2349,1120,10,0.000000000,2022-10-05,431679
23578,1112,20,177.800000000,2022-10-05,431593
23578,1114,20,177.800000000,2022-10-05,431593
23578,1115,16,232.800000000,2022-10-05,431593
23578,1116,18,230.580000000,2022-10-05,431593
23578,9549,22,212.740000000,2022-10-05,431593
23578,9596,16,232.800000000,2022-10-05,431593
27891,850,8,431.120000000,2022-10-05,431617
7955,847,9,431.820000000,2022-10-05,431715
7955,850,2,112.280000000,2022-10-05,431715
21337,850,4,224.560000000,2022-10-05,431605
26425,850,3,175.650000000,2022-10-05,431574
26425,1081,10,467.100000000,2022-10-05,431574
28611,1120,20,422.000000000,2022-10-05,431579
28611,9549,22,208.780000000,2022-10-05,431579
28611,1120,2,0.000000000,2022-10-05,431578
28108,594,18,699.660000000,2022-10-05,431664
12706,1112,20,177.800000000,2022-10-05,431504
12706,1115,16,232.800000000,2022-10-05,431504
12706,1120,10,220.700000000,2022-10-05,431504
12706,9549,22,212.740000000,2022-10-05,431504
12706,9596,16,232.800000000,2022-10-05,431504
23584,1115,16,232.800000000,2022-10-05,431551
23584,1120,10,220.700000000,2022-10-05,431551
23584,9596,16,232.800000000,2022-10-05,431551
20987,1120,20,441.400000000,2022-10-05,431709
7130,1112,20,177.800000000,2022-10-05,431548
7130,1117,18,285.120000000,2022-10-05,431548
7130,1120,10,220.700000000,2022-10-05,431548
9702,1081,12,566.880000000,2022-10-05,431649
19845,594,12,429.720000000,2022-10-05,431601
19845,850,3,168.420000000,2022-10-05,431601
12432,1112,20,177.800000000,2022-10-05,431546
12432,1120,10,211.000000000,2022-10-05,431546
12432,9549,22,208.780000000,2022-10-05,431546
12432,9596,16,222.880000000,2022-10-05,431546
16611,9546,1,31.100000000,2022-10-05,431732
25442,594,12,491.760000000,2022-10-05,431705
14419,594,5,204.900000000,2022-10-05,431522
19960,1112,20,165.000000000,2022-10-05,431547
26179,1058,12,384.000000000,2022-10-05,431565
8880,1112,20,169.800000000,2022-10-05,431609
8880,9549,44,410.080000000,2022-10-05,431609
8880,9596,80,1112.000000000,2022-10-05,431609
28592,594,12,491.760000000,2022-10-05,431510
21383,9596,16,232.800000000,2022-10-05,431525
26107,1115,16,232.800000000,2022-10-05,431576
26107,9596,32,465.600000000,2022-10-05,431576
19231,1112,20,177.800000000,2022-10-05,431585
19231,9596,16,232.800000000,2022-10-05,431585
23666,1112,40,355.600000000,2022-10-05,431505
23666,1114,40,355.600000000,2022-10-05,431505
23666,1115,16,232.800000000,2022-10-05,431505
23666,9596,48,698.400000000,2022-10-05,431505
21574,9596,16,232.800000000,2022-10-05,431633
24789,9596,16,232.800000000,2022-10-05,431648
22090,1112,20,177.800000000,2022-10-05,431655
22090,9549,22,212.740000000,2022-10-05,431655
22090,9596,16,232.800000000,2022-10-05,431655
15403,594,18,737.640000000,2022-10-05,431721
15403,9549,22,212.740000000,2022-10-05,431721
22806,594,6,229.200000000,2022-10-05,431755
25102,1115,16,232.800000000,2022-10-05,431670
25102,9596,16,232.800000000,2022-10-05,431670
13008,594,12,491.760000000,2022-10-05,431591
8880,9549,44,410.080000000,2022-10-05,431830
8880,9596,80,1112.000000000,2022-10-05,431830
20261,1115,1,11.330000000,2022-10-05,431787
5398,594,1,38.190000000,2022-10-05,431916
28400,1115,6,89.580000000,2022-10-06,431826
28400,1120,11,246.730000000,2022-10-06,431826
28400,9549,9,87.750000000,2022-10-06,431826
16045,1095,30,1352.100000000,2022-10-06,432001
28739,1115,7,104.510000000,2022-10-06,431863
28739,1120,10,224.300000000,2022-10-06,431863
28507,1115,7,104.510000000,2022-10-06,431873
28507,1120,10,224.300000000,2022-10-06,431873
16891,9549,22,212.740000000,2022-10-06,431927
16891,9596,32,465.600000000,2022-10-06,431927
28514,1115,7,104.510000000,2022-10-06,431876
28514,1120,10,224.300000000,2022-10-06,431876
23689,1112,20,177.800000000,2022-10-06,431931
23689,9596,16,232.800000000,2022-10-06,431931
26237,1112,40,355.600000000,2022-10-06,431775
26237,1115,16,232.800000000,2022-10-06,431775
26237,9549,44,425.480000000,2022-10-06,431775
26237,9577,22,242.440000000,2022-10-06,431775
28519,1115,7,104.510000000,2022-10-06,431870
28519,1120,10,224.300000000,2022-10-06,431870
20789,9596,16,232.800000000,2022-10-06,431817
21022,1117,18,285.120000000,2022-10-06,431929
21022,9549,22,212.740000000,2022-10-06,431929
26180,1112,20,177.800000000,2022-10-06,431986
26180,9596,16,232.800000000,2022-10-06,431986
23253,9596,32,465.600000000,2022-10-06,431788
28517,1115,4,59.720000000,2022-10-06,431839
28517,1120,6,134.580000000,2022-10-06,431839
28394,1115,11,164.230000000,2022-10-06,431834
28394,1120,11,246.730000000,2022-10-06,431834
28394,9549,7,68.250000000,2022-10-06,431834
28393,1115,6,89.580000000,2022-10-06,431828
28393,1120,11,246.730000000,2022-10-06,431828
28393,9549,10,97.500000000,2022-10-06,431828
28139,594,6,245.880000000,2022-10-06,431944
10444,594,6,245.880000000,2022-10-06,431809
28395,1115,7,104.510000000,2022-10-06,431833
28395,1120,11,246.730000000,2022-10-06,431833
28395,9549,10,97.500000000,2022-10-06,431833
27246,908,7,289.240000000,2022-10-06,431711
25377,9596,16,232.800000000,2022-10-06,431934
28238,594,6,245.880000000,2022-10-06,431911
6249,594,48,1967.040000000,2022-10-06,431812
28086,594,6,245.880000000,2022-10-06,431938
28401,1115,7,104.510000000,2022-10-06,431871
28401,1120,10,224.300000000,2022-10-06,431871
28401,9549,9,87.750000000,2022-10-06,431871
20787,1112,20,165.400000000,2022-10-06,431763
20787,9596,16,232.800000000,2022-10-06,431763
16801,9549,10,90.500000000,2022-10-06,431776
28544,1115,7,104.510000000,2022-10-06,431861
28544,1120,10,224.300000000,2022-10-06,431861
28534,1115,7,104.510000000,2022-10-06,431804
28534,1120,10,224.300000000,2022-10-06,431804
9674,9549,22,212.740000000,2022-10-06,431887
9674,9592,16,257.920000000,2022-10-06,431887
9674,9596,32,444.800000000,2022-10-06,431887
27896,594,12,429.600000000,2022-10-06,431914
11983,9549,22,220.000000000,2022-10-06,431969
8503,594,12,491.760000000,2022-10-06,431956
22167,594,12,430.920000000,2022-10-06,432040
20549,1112,280,2301.600000000,2022-10-06,431960
20549,9550,22,202.620000000,2022-10-06,431960
20549,9596,16,232.800000000,2022-10-06,431960
20549,1112,60,0.000000000,2022-10-06,431999
23867,1112,40,328.800000000,2022-10-06,431973
23867,9550,22,202.620000000,2022-10-06,431973
23867,9596,16,232.800000000,2022-10-06,431973
23869,1112,40,328.800000000,2022-10-06,431966
23869,1120,10,204.000000000,2022-10-06,431966
23869,9549,22,202.620000000,2022-10-06,431966
23869,9596,16,232.800000000,2022-10-06,431966
23870,1112,40,328.800000000,2022-10-06,431963
23870,9549,22,202.620000000,2022-10-06,431963
23870,9596,16,232.800000000,2022-10-06,431963
28546,1115,7,104.510000000,2022-10-06,431819
28546,1120,11,246.730000000,2022-10-06,431819
14951,1095,16,755.840000000,2022-10-06,431832
25717,9596,160,2000.000000000,2022-10-06,432033
28526,1115,7,104.510000000,2022-10-06,431800
