CEP,Logradouro,Bairro,Cidade,UF
48080160,TRAVESSA DEZ DE NOVEMBRO,TERESÓPOLIS,ALAGOINHAS,BA
48080150,RUA DOM AVELAR BRANDÃO VILELA,TERESÓPOLIS,ALAGOINHAS,BA
48070140,RUA DIAS D ÁVILA,BARREIRO,ALAGOINHAS,BA
48051310,PARQUE DIESEL,DOIS DE JULHO,ALAGOINHAS,BA
48030090,RUA DJALMA MORAIS,ALAGOINHAS VELHA,ALAGOINHAS,BA
48005025,RUA DOM PEDRO I,CENTRO,ALAGOINHAS,BA
48010050,RUA DOM PEDRO II,CENTRO,ALAGOINHAS,BA
48031090,RUA DUQUE DE CAXIAS,JARDIM PETROLAR,ALAGOINHAS,BA
48080080,RUA ELDORADO,JARDIM PEDRO BRAGA,ALAGOINHAS,BA
48005150,RUA ELVIRA DÓREA,CENTRO,ALAGOINHAS,BA
48005160,TRAVESSA ELVIRA DÓREA,CENTRO,ALAGOINHAS,BA
48070240,RUA ESPLANADA,BARREIRO,ALAGOINHAS,BA
48070320,TRAVESSA DOS EUCALIPTOS,BARREIRO,ALAGOINHAS,BA
48010160,LARGO DA FEDERAÇÃO,CENTRO,ALAGOINHAS,BA
48070410,RUA FEIRA DE SANTANA,BARREIRO,ALAGOINHAS,BA
48080240,RUA FEITICEIRA,TERESÓPOLIS,ALAGOINHAS,BA
48050100,BECO DOS FERROVIÁRIOS,SANTA ISABEL,ALAGOINHAS,BA
48010120,RUA FRANCISCO BATISTA,CENTRO,ALAGOINHAS,BA
48070220,TRAVESSA FRANCISCO CERQUEIRA,BARREIRO,ALAGOINHAS,BA
48070210,RUA FRANCISCO CERQUEIRA,BARREIRO,ALAGOINHAS,BA
48031120,RUA FRANCISCO DE ASSIS,JARDIM PETROLAR,ALAGOINHAS,BA
48080100,RUA FRANCISCO FARIAS,JARDIM PEDRO BRAGA,ALAGOINHAS,BA
48080300,CONJUNTO FREI LEÃO,TERESÓPOLIS,ALAGOINHAS,BA
48080180,RUA GARCIA,TERESÓPOLIS,ALAGOINHAS,BA
48030620,RUA GENÉSIO ALMEIDA NASCIMENTO,ALAGOINHAS VELHA,ALAGOINHAS,BA
48030630,TRAVESSA GENÉSIO ALMEIDA NASCIMENTO,ALAGOINHAS VELHA,ALAGOINHAS,BA
48020590,RUA GERALDO LEAL,KENNEDY,ALAGOINHAS,BA
48020170,RUA GETÚLIO VARGAS,KENNEDY,ALAGOINHAS,BA
48070040,RUA GETÚLIO VARGAS,PARQUE VITÓRIA,ALAGOINHAS,BA
48010110,PRAÇA GRACILIANO FREITAS,CENTRO,ALAGOINHAS,BA
48030210,PARQUE HAVAÍ,ALAGOINHAS VELHA,ALAGOINHAS,BA
48030220,RUA HENRIQUE DIAS,ALAGOINHAS VELHA,ALAGOINHAS,BA
48090050,PARQUE IMACULADA CONCEIÇÃO,CATU,ALAGOINHAS,BA
48020480,LARGO DA INDEPENDÊNCIA,KENNEDY,ALAGOINHAS,BA
48070250,PARQUE INEMA,BARREIRO,ALAGOINHAS,BA
48030300,CONJUNTO INOCOOP I,ALAGOINHAS VELHA,ALAGOINHAS,BA
48030310,CONJUNTO INOCOOP II,ALAGOINHAS VELHA,ALAGOINHAS,BA
48030080,CONJUNTO INOCOOP III,ALAGOINHAS VELHA,ALAGOINHAS,BA
48030575,CONJUNTO INOCOOP IV,ALAGOINHAS VELHA,ALAGOINHAS,BA
48031150,RUA IPIRANGA,JARDIM PETROLAR,ALAGOINHAS,BA
48070200,RUA IRARÁ,BARREIRO,ALAGOINHAS,BA
48060080,RUA IRINEU DE CASTRO,SILVA JARDIM,ALAGOINHAS,BA
48051340,RUA ITAPICURU,DOIS DE JULHO,ALAGOINHAS,BA
48030120,PARQUE JARDIM AMÉRICA,ALAGOINHAS VELHA,ALAGOINHAS,BA
48051180,TRAVESSA JOÃO AMORIM,DOIS DE JULHO,ALAGOINHAS,BA
48011280,TRAVESSA JOÃO DANTAS,SANTA TEREZINHA,ALAGOINHAS,BA
48010530,RUA JOÃO DANTAS,SANTA TEREZINHA,ALAGOINHAS,BA
48010060,RUA JOÃO DE CASTRO,CENTRO,ALAGOINHAS,BA
48030580,RUA JOÃO DE DEUS ALVES,ALAGOINHAS VELHA,ALAGOINHAS,BA
48051210,AVENIDA JOÃO RAMOS,DOIS DE JULHO,ALAGOINHAS,BA
48060070,RUA JOAQUIM CRAVO,SILVA JARDIM,ALAGOINHAS,BA
48070020,RUA JOAQUIM LOPES,PARQUE VITÓRIA,ALAGOINHAS,BA
48005480,RUA JOAQUIM NOGUEIRA,CENTRO,ALAGOINHAS,BA
48005080,RUA JOEL DE CARVALHO,CENTRO,ALAGOINHAS,BA
48031130,RUA JORGE AMADO,JARDIM PETROLAR,ALAGOINHAS,BA
48030230,TRAVESSA BISPO JOSÉ,ALAGOINHAS VELHA,ALAGOINHAS,BA
48010090,RUA JOSÉ BONIFÁCIO,CENTRO,ALAGOINHAS,BA
48060050,RUA JOSÉ COSTA DÓREA,SILVA JARDIM,ALAGOINHAS,BA
48005120,TRAVESSA JOSÉ DÓREA,CENTRO,ALAGOINHAS,BA
48005100,PARQUE JOSÉ DÓREA,CENTRO,ALAGOINHAS,BA
48005140,RUA JOSÉ GALDINO MAIA,CENTRO,ALAGOINHAS,BA
48020510,RUA JOSÉ JOAQUIM LEAL,KENNEDY,ALAGOINHAS,BA
48020520,TRAVESSA JOSÉ JOAQUIM LEAL,KENNEDY,ALAGOINHAS,BA
48030450,RUA JOSÉ LUIZ SANTOS,ALAGOINHAS VELHA,ALAGOINHAS,BA
48030460,TRAVESSA JOSÉ LUIZ SANTOS,ALAGOINHAS VELHA,ALAGOINHAS,BA
48005110,RUA JOSÉ OLÍMPIO,CENTRO,ALAGOINHAS,BA
48080090,RUA JOSUÉ PIMENTEL,JARDIM PEDRO BRAGA,ALAGOINHAS,BA
48030060,TRAVESSA JÚLIO CARMO,ALAGOINHAS VELHA,ALAGOINHAS,BA
48005440,AVENIDA JURACY MAGALHÃES,CENTRO,ALAGOINHAS,BA
48040210,AVENIDA JURACY MAGALHÃES,JURACY MAGALHÃES,ALAGOINHAS,BA
48020500,PRAÇA KENNEDY,KENNEDY,ALAGOINHAS,BA
48051280,RUA LADISLAU CAVALCANTE,DOIS DE JULHO,ALAGOINHAS,BA
48020600,AVENIDA LAFAIETE,KENNEDY,ALAGOINHAS,BA
48070340,RUA LAMARÃO,BARREIRO,ALAGOINHAS,BA
48090060,VILA LARANJAIS,CATU,ALAGOINHAS,BA
48005015,RUA LAURO DE FREITAS,CENTRO,ALAGOINHAS,BA
48011240,RUA LEOVIGILDO REIS,SANTA TEREZINHA,ALAGOINHAS,BA
48020620,TRAVESSA LEOVIGILDO REIS,KENNEDY,ALAGOINHAS,BA
48010170,AVENIDA DA LESTE,CENTRO,ALAGOINHAS,BA
48070370,RUA LINS FARIA,BARREIRO,ALAGOINHAS,BA
48070050,RUA LOMANTO JÚNIOR,PARQUE VITÓRIA,ALAGOINHAS,BA
48005450,AVENIDA LOURIVAL BATISTA,CENTRO,ALAGOINHAS,BA
48005040,RUA LÚCIO BENTO CARDOSO,CENTRO,ALAGOINHAS,BA
48005420,RUA LUÍS VIANA,CENTRO,ALAGOINHAS,BA
48050170,RUA MAESTRO LARANJEIRAS,SANTA ISABEL,ALAGOINHAS,BA
48060490,TRAVESSA MANGALÔ,MANGALÔ,ALAGOINHAS,BA
48060480,RUA MANGALÔ,MANGALÔ,ALAGOINHAS,BA
