01|RELEST|050|202305010340|202305010340|20230430|20230430|03974724000124|35402759011110
02|202304302359|9417|672.00|0.00
02|202304302359|9419|204.00|0.00
02|202304302359|9420|312.00|0.00
02|202304302359|9421|333.00|0.00
02|202304302359|9422|168.00|0.00
02|202304302359|9423|100.00|0.00
02|202304302359|9424|166.00|0.00
02|202304302359|9425|165.00|0.00
02|202304302359|9430|396.00|0.00
02|202304302359|9431|518.00|0.00
02|202304302359|9432|4.00|0.00
02|202304302359|9433|0.00|0.00
02|202304302359|9434|0.00|0.00
02|202304302359|9435|3.00|0.00
02|202304302359|9436|0.00|0.00
02|202304302359|9437|361.00|0.00
02|202304302359|9438|313.00|0.00
02|202304302359|9439|1593.00|0.00
02|202304302359|9440|1092.00|0.00
02|202304302359|9445|3371.00|0.00
02|202304302359|9446|3992.00|0.00
02|202304302359|9447|1441.00|0.00
02|202304302359|9448|1314.00|0.00
02|202304302359|9449|26.00|0.00
02|202304302359|9450|27.00|0.00
02|202304302359|9451|26.00|0.00
02|202304302359|9452|22.00|0.00
02|202304302359|9453|25.00|0.00
02|202304302359|9454|32.00|0.00
02|202304302359|9456|1041.00|0.00
02|202304302359|9457|451.20|0.00
02|202304302359|9459|2023.00|0.00
02|202304302359|9461|1493.00|0.00
02|202304302359|9463|0.00|0.00
02|202304302359|9464|876.00|0.00
02|202304302359|9465|51.00|0.00
02|202304302359|9466|35.00|0.00
02|202304302359|9467|72.00|0.00
02|202304302359|9468|26.00|0.00
02|202304302359|9473|139.00|0.00
02|202304302359|9477|2112.00|0.00
02|202304302359|9478|2080.00|0.00
02|202304302359|9480|18.00|0.00
02|202304302359|9489|2838.00|0.00
02|202304302359|9490|1013.00|0.00
02|202304302359|9491|1039.00|0.00
02|202304302359|9492|1619.00|0.00
02|202304302359|9493|1393.00|0.00
02|202304302359|9572|0.00|0.00
02|202304302359|9573|0.00|0.00
02|202304302359|9594|256.00|0.00
02|202304302359|9603|168.00|0.00
02|202304302359|9613|285.00|0.00
02|202304302359|9621|1542.00|0.00
02|202304302359|9622|1617.00|0.00
02|202304302359|9623|1708.00|0.00
