CEP,Logradouro,Bairro,Cidade,UF
79035420,RUA ADÉLIA RODRIGUES PUIA,TAQUARAL BOSQUE,CAMPO GRANDE,MS
79085031,RUA ADELINO CARLANA,CONJUNTO AERO RANCHO,CAMPO GRANDE,MS
79097836,RUA ADEMIR BERTONI,JARDIM TARUMÃ,CAMPO GRANDE,MS
79035380,RUA ALDEMIR PEDRA,TAQUARAL BOSQUE,CAMPO GRANDE,MS
79044170,RUA ADERBAL MEDEIROS NETTO,VIVENDAS DO PARQUE,CAMPO GRANDE,MS
79060333,RUA ABIB POSSIK,RESIDENCIAL BETAVILLE,CAMPO GRANDE,MS
79014070,RUA ADIS ABEBA,JARDIM PRESIDENTE,CAMPO GRANDE,MS
79052010,RUA ADOLFO FRANCISCO CARLOS,VILA MORUMBI,CAMPO GRANDE,MS
79023160,RUA ADOLFO PINHEIRO,VILA MARGARIDA,CAMPO GRANDE,MS
79021173,PRAÇA ADOLPHO TOGNINI,COOPHAFÉ,CAMPO GRANDE,MS
79084087,PRAÇA ADOLPHO TOGNINI,CONJUNTO AERO RANCHO,CAMPO GRANDE,MS
79041070,RUA ADONIRAN BARBOSA,TIRADENTES,CAMPO GRANDE,MS
79094620,RUA ADORCINIO DE OLIVEIRA LÍRIO,JARDIM TIJUCA,CAMPO GRANDE,MS
79063790,RUA ADORCINO OLIVEIRA LIRIO,CONJUNTO RESIDENCIAL RECANTO DOS ROUXINÓIS,CAMPO GRANDE,MS
79011420,RUA ADRIANO METELLO - ATÉ 505/506,CORONEL ANTONINO,CAMPO GRANDE,MS
79013030,RUA ADRIANO METELLO - DE 507/508 AO FIM,CONJUNTO RESIDENCIAL ESTRELA DO SUL,CAMPO GRANDE,MS
79045070,RUA ADVENTOR DIVINO DE ALMEIDA,JARDIM NOROESTE,CAMPO GRANDE,MS
79043091,RUA DOS ADVOGADOS,ARNALDO ESTEVÃO FIGUEIREDO,CAMPO GRANDE,MS
79083240,RUA AERO RANCHO,JARDIM AERO RANCHO,CAMPO GRANDE,MS
79112090,AVENIDA AEROPORTO,VILA SANTO AMARO,CAMPO GRANDE,MS
79106150,RUA AFEGANISTÃO,JARDIM AEROPORTO,CAMPO GRANDE,MS
79083354,RUA AFELANDRA,JARDIM DAS HORTÊNCIAS,CAMPO GRANDE,MS
79096149,AVENIDA AFLUENTE,LOTEAMENTO RANCHO ALEGRE II,CAMPO GRANDE,MS
79117182,RUA AFONSO ACUNZO,COOPHASUL,CAMPO GRANDE,MS
79083150,RUA AFONSO ARINOS,JARDIM AERO RANCHO,CAMPO GRANDE,MS
79073267,RUA AFONSO CELSO,JARDIM LOS ANGELES,CAMPO GRANDE,MS
79117391,RUA AFONSO DE SOUZA,VILA NASSER,CAMPO GRANDE,MS
79114110,RUA AFONSO EDUARDO REIDY,CONJUNTO JOSÉ ABRÃO,CAMPO GRANDE,MS
79084031,TRAVESSA AFONSO JORDAN,CONJUNTO AERO RANCHO,CAMPO GRANDE,MS
79023290,RUA AFONSO LOUREIRO DE ALMEIDA,VILA MARGARIDA,CAMPO GRANDE,MS
79005000,AVENIDA AFONSO PENA - ATÉ 1499 - LADO ÍMPAR,AMAMBAÍ,CAMPO GRANDE,MS
79005001,AVENIDA AFONSO PENA - ATÉ 1500 - LADO PAR,AMAMBAÍ,CAMPO GRANDE,MS
79002070,AVENIDA AFONSO PENA - DE 1501 A 1999 - LADO ÍMPAR,CENTRO,CAMPO GRANDE,MS
